ISBN,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,Subject Area,Publication Year,Language,CODE ID,Quantity,
9780060976255,Understanding Comics,The Invisible Art,Scott McCloud,Harper Collins Publishers,http://books.google.com/books/content?id=0XBxpwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,ID,Animation,1994,en,ID29,1,
9780007492893,Information is Beautiful,,David McCandless,Collins Publishers,http://books.google.com/books/content?id=GAJXMAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,ID,Encyclopedias,2012,en,ID30,1,
9781491927182,This Is Service Design Doing,Applying Service Design Thinking in the Real World,"Marc Stickdorn, Markus Edgar Hormess, Adam Lawrence, Jakob Schneider","O'Reilly Media, Inc.",http://books.google.com/books/content?id=aKRGDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ID,Consumer Behavior,2018,en,ID31,1,
9781491955413,Designing Voice User Interfaces,Principles of Conversational Experiences,Cathy Pearl,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=WGnEDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ID,Website Architecture,2016,en,ID32,1,
9781616891701,Type on screen,"A critical guide for designers, writers, developers and students",Ellen Lupton,Princeton Architectural Press,https://m.media-amazon.com/images/I/91iGakEgMfL._AC_UL872_FMwebp_QL65_.jpg,ID,Typography,2014,en,ID33,1,
9783868814798,Durch die Decke denken,Design Thinking in der Praxis,Erik Spiekermann,Redline Verlag,https://m.media-amazon.com/images/I/414sChxhEGL._AC_UL872_FMwebp_QL65_.jpg,ID,Self-Help,2015,de,ID34,1,
9780986163739,Foundations of design,,Jeff Davis,Tempe Digital LLC,https://m.media-amazon.com/images/I/71ETp82OgDL._AC_UY436_FMwebp_QL65_.jpg,ID,Foundation,2016,en,ID35,1,
9781482314458,"Mastering Aperture, Shutter Speed, ISO and Exposure",How They Interact and Affect Each Other,Al Judge,Createspace Independent Pub,https://m.media-amazon.com/images/I/51gzXXtwjmL._AC_UL872_FMwebp_QL65_.jpg,ID,Photography,2012,en,ID36,1,
9781607748274,Learning to See Creatively,"Design, Color, and Composition in Photography",Bryan Peterson,Amphoto Books,http://books.google.com/books/content?id=xffIBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ID,Photography,2015,en,ID37,1,
9781592535873,Universal principles of design,"125 ways to enhance Usability, Influence Perception, Increase Appeal, Make better Design Desicions, and Teach through Design","Lidwell, Holden, Butter",RockPort,https://m.media-amazon.com/images/I/81uolgshWbL._AC_UY436_FMwebp_QL65_.jpg,ID,Design,2010,en,ID38,2,
9780596528102,Designing Web Navigation,,James Kalbach,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=LC0cG-vFJbcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ID,Website Architecture,2007,en,ID39,1,
9780123809308,Thoughts on Interaction Design,,Jon Kolko,Elsevier,http://books.google.com/books/content?id=rNrIy5mteo0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ID,Website Architecture,2011,en,ID40,1,
9781616893323,Graphic Design the New Basics,,Ellen Lupton and Jennifer Cole Phillips,Princeton Architectual Press,https://m.media-amazon.com/images/I/71uMZuRUIgL._AC_UY436_FMwebp_QL65_.jpg,ID,Graphic Design,2012,en,ID41,1,
9783945749210,Real-life Responsive Web Design,,Smashing Book,Smashing Magazine,https://m.media-amazon.com/images/I/41KN6GizLTL._AC_UY436_FMwebp_QL65_.jpg,ID,Responsive Design,2015,en,ID42,1,
9781446298459,Qualitative Psychology,A Practical Guide to Research Methods,Jonathan A. Smith,SAGE Publishing,"https://images-na.ssl-images-amazon.com/images/I/41cl4O%2BNf-L._SX399_BO1,204,203,200_.jpg",ID,Psychology,2015,en,ID43,1,
9781449367626,Designing for Behavior Change,Applying Psychology and Behavioral Economics,Stephen Wendel,"O'Reilly Media, Inc.",https://m.media-amazon.com/images/I/81WZ-4AbzkL._AC_UL872_FMwebp_QL65_.jpg,ID,Website Architecture,2014,en,ID44,1,
9780865478978,The Animator's Survival Kit,"A Manual of Methods, Principles and Formulas for Classical, Computer, Games, Stop Motion and Internet Animators",Richard Williams,Macmillan,http://books.google.com/books/content?id=w1ADDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,ID,Animation,2009,en,ID45,1,
9781558606432,Persuasive Technology,Using Computers to Change What We Think and Do,B.J. Fogg,Morgan Kaufmann,https://m.media-amazon.com/images/I/41mlnszB8+L._AC_UL872_FMwebp_QL65_.jpg,ID,Artificial Intelligence,2003,en,ID46,1,
9783874399029,Generative Gestaltung,Creative Coding in Web,"Benedikt Groß, Hartmut Bochnacker, Julia Laub, Claudius Lazzeroni",Verlag Hermann Schmidt,https://m.media-amazon.com/images/I/813gE6m6XwL._AC_UL872_FMwebp_QL65_.jpg,ID,Graphics Programming,2018,de,ID47,1,
9781616890773,Generative Design,"Visualize, Program, and Create with Processing","Benedikt Groß, Hartmut Bochnacker, Julia Laub, Claudius Lazzeroni",Princeton Architectural Press,https://m.media-amazon.com/images/I/51loNKt4HqL._AC_UL872_FMwebp_QL65_.jpg,ID,3D,2012,en,ID48,1,
9781616890476,Designing For Social Change,Strategies for Community-Based Graphic Design,Andrew Shea,Princeton Architectural Press,http://books.google.com/books/content?id=LZ1ZXwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,ID,Design,2012,en,ID49,1,
9781118582305,Cool Infographics,Effective Communication with Data Visualization and Design,Randy Krum,John Wiley & Sons,http://books.google.com/books/content?id=7ZesAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ID,Design,2014,en,ID50,1,
9780897331531,Design for the Real World,Human Ecology and Social Change,Victor Papanek,Acadamy Chicago Publischers,https://m.media-amazon.com/images/I/61M3CQI4GUL._AC_UY436_FMwebp_QL65_.jpg,ID,"Human Ecology, Social Change",1971,en,ID51,1,
9781118422144,Evil by Design,Interaction Design to Lead Us Into Temptation,Chris Nodder,John Wiley & Sons Inc.,https://m.media-amazon.com/images/I/41VLMNu8uWL._AC_UY436_FMwebp_QL65_.jpg,ID,Interaction Design,2013,en,ID52,1,
